Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteLogin,Chrome 66.0.3359.139,,2018-05-10 22:23:42,2018-05-10 22:24:46,1m - 3.639s,PASSED
,,,,,,
Test Cases/TestCaseLoginAdmin,Chrome 66.0.3359.139,Test case for admin role,2018-05-10 22:23:43,2018-05-10 22:23:56,13.706s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 22:23:43,2018-05-10 22:23:48,4.526s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 22:23:48,2018-05-10 22:23:53,5.295s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 22:23:53,2018-05-10 22:23:53,0.519s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 22:23:53,2018-05-10 22:23:54,0.241s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:23:54,2018-05-10 22:23:54,0.217s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:23:54,2018-05-10 22:23:55,1.198s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:23:55,2018-05-10 22:23:55,0.171s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:23:55,2018-05-10 22:23:55,0.155s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 22:23:55,2018-05-10 22:23:56,0.855s,PASSED
,,,,,,
Test Cases/TestCaseIncorrectUserPass,Chrome 66.0.3359.139,Test case if there is no such user,2018-05-10 22:23:56,2018-05-10 22:24:07,10.560s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 22:23:57,2018-05-10 22:23:59,2.120s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 22:23:59,2018-05-10 22:24:04,5.282s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 22:24:04,2018-05-10 22:24:04,0.344s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 22:24:04,2018-05-10 22:24:05,0.223s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:24:05,2018-05-10 22:24:05,0.191s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:24:05,2018-05-10 22:24:06,1.281s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 22:24:06,2018-05-10 22:24:07,0.790s,PASSED
,,,,,,
Test Cases/TestCaseEmptyUser,Chrome 66.0.3359.139,,2018-05-10 22:24:07,2018-05-10 22:24:16,9.134s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 22:24:07,2018-05-10 22:24:09,2.098s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 22:24:09,2018-05-10 22:24:15,5.361s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 22:24:15,2018-05-10 22:24:15,0.336s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:24:15,2018-05-10 22:24:15,0.132s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:24:15,2018-05-10 22:24:15,0.183s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 22:24:15,2018-05-10 22:24:16,0.813s,PASSED
,,,,,,
Test Cases/TestCaseEmptyPassw,Chrome 66.0.3359.139,,2018-05-10 22:24:16,2018-05-10 22:24:25,8.980s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 22:24:16,2018-05-10 22:24:18,2.124s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 22:24:18,2018-05-10 22:24:23,5.060s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 22:24:23,2018-05-10 22:24:24,0.317s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:24:24,2018-05-10 22:24:24,0.251s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:24:24,2018-05-10 22:24:24,0.209s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 22:24:24,2018-05-10 22:24:25,0.790s,PASSED
,,,,,,
Test Cases/TestCaseLoginUser,Chrome 66.0.3359.139,Test case for user role,2018-05-10 22:24:25,2018-05-10 22:24:36,10.925s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 22:24:25,2018-05-10 22:24:28,2.147s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 22:24:28,2018-05-10 22:24:33,5.256s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 22:24:33,2018-05-10 22:24:33,0.390s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 22:24:33,2018-05-10 22:24:33,0.182s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:24:33,2018-05-10 22:24:34,0.223s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:24:34,2018-05-10 22:24:35,1.243s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:24:35,2018-05-10 22:24:35,0.175s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:24:35,2018-05-10 22:24:35,0.147s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 22:24:35,2018-05-10 22:24:36,0.795s,PASSED
,,,,,,
Test Cases/TestCaseLoginPage,Chrome 66.0.3359.139,,2018-05-10 22:24:36,2018-05-10 22:24:46,9.644s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 22:24:36,2018-05-10 22:24:38,2.214s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 22:24:38,2018-05-10 22:24:44,6.117s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:24:44,2018-05-10 22:24:45,0.203s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:24:45,2018-05-10 22:24:45,0.117s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 22:24:45,2018-05-10 22:24:46,0.791s,PASSED
